date,LT1,PT1
2022-09-18 20:00:00,68.15,3733.59
2022-09-18 19:00:00,68.13,3726.57
2022-09-18 18:00:00,68.08,3718.59
2022-09-18 17:00:00,68.05,3709.70
2022-09-18 16:00:00,68.03,3701.17
2022-09-18 15:00:00,67.96,3677.51
2022-09-18 14:00:00,68.32,3694.00
2022-09-18 13:00:00,68.53,3738.24
2022-09-18 12:00:00,68.64,3739.05
2022-09-18 11:00:00,68.70,3736.58
2022-09-18 10:00:00,68.64,3728.77
2022-09-18 09:00:00,68.41,3722.15
2022-09-18 08:00:00,68.84,3707.97
2022-09-18 07:00:00,69.02,3696.73
2022-09-18 06:00:00,69.05,3695.34
2022-09-18 05:00:00,69.32,3735.30
2022-09-18 04:00:00,69.53,3772.69
2022-09-18 03:00:00,70.05,3893.26
2022-09-18 02:00:00,70.16,3908.27
2022-09-18 01:00:00,70.62,3957.29
2022-09-18 00:00:00,70.69,3963.12
2022-09-17 23:00:00,70.72,3962.97
2022-09-17 22:00:00,70.68,3968.77
2022-09-17 21:00:00,71.07,3862.94
2022-09-17 20:00:00,71.79,3701.35
2022-09-17 19:00:00,72.60,3660.49
2022-09-17 18:00:00,74.12,3720.44
2022-09-17 17:00:00,74.47,3660.51
2022-09-17 16:00:00,74.73,3709.21
2022-09-17 15:00:00,75.47,3928.81
2022-09-17 14:00:00,77.37,3813.11
2022-09-17 13:00:00,78.00,3813.61
2022-09-17 12:00:00,75.72,3786.04
2022-09-17 11:00:00,48.18,3830.05
2022-09-17 10:00:00,41.16,3860.54
2022-09-17 09:00:00,42.45,3791.36
2022-09-17 08:00:00,44.64,3677.06
2022-09-17 07:00:00,46.27,3611.69
2022-09-17 06:00:00,48.21,3810.25
2022-09-17 05:00:00,50.04,3914.58
2022-09-17 04:00:00,52.02,3877.35
2022-09-17 03:00:00,54.72,3784.01
2022-09-17 02:00:00,55.82,3739.41
2022-09-17 01:00:00,57.43,3710.73
2022-09-17 00:00:00,59.09,3864.83
2022-09-16 23:00:00,59.86,3830.44
2022-09-16 22:00:00,61.86,3633.41
2022-09-16 21:00:00,63.05,3659.45
2022-09-16 20:00:00,64.87,3953.77
2022-09-16 19:00:00,67.16,4068.99
2022-09-16 18:00:00,70.20,4026.31
2022-09-16 17:00:00,71.43,4295.42
2022-09-16 16:00:00,73.45,4487.39
2022-09-16 15:00:00,74.80,3794.18
2022-09-16 14:00:00,48.99,3828.06
2022-09-16 13:00:00,25.64,4333.57
2022-09-16 12:00:00,26.09,4245.55
2022-09-16 11:00:00,27.64,4136.65
2022-09-16 10:00:00,30.25,3988.45
2022-09-16 09:00:00,33.56,3893.43
2022-09-16 08:00:00,35.25,3817.32
2022-09-16 07:00:00,38.47,3699.94
2022-09-16 06:00:00,40.21,3826.53
2022-09-16 05:00:00,41.41,4023.86
2022-09-16 04:00:00,43.79,3750.32
2022-09-16 03:00:00,45.00,3981.41
2022-09-16 02:00:00,45.81,4092.36
2022-09-16 01:00:00,46.95,4018.16
2022-09-16 00:00:00,48.16,4147.40
2022-09-15 23:00:00,48.96,4101.90
2022-09-15 22:00:00,51.29,3667.43
2022-09-15 21:00:00,52.54,3731.40
